surface,rooms,floor,balcony,parking,age,district,price
122,3,13,0,1,66,luxe,638839.0583063011
199,5,4,1,1,53,calme,753886.7812115399
112,7,5,0,0,19,populaire,394686.96286409633
34,4,13,0,1,32,luxe,371603.7552977359
126,5,6,0,0,7,populaire,495766.00476220314
91,7,14,0,1,23,centre,541033.1923020344
208,5,12,1,0,52,calme,783603.4580913129
40,4,9,1,0,63,populaire,148154.99696767487
122,5,11,1,1,57,calme,559003.1328885735
141,3,6,0,0,36,luxe,615222.6143361899
230,6,6,0,0,11,calme,915797.723716531
234,2,6,1,1,3,populaire,849404.9368452698
94,5,10,1,1,30,calme,432203.346913794
222,3,12,0,1,78,centre,828367.2110896753
107,2,12,0,1,37,centre,494287.1579769473
136,7,6,0,1,36,luxe,684873.469321239
119,2,2,0,1,74,populaire,338736.6524651436
123,7,14,0,1,13,calme,618098.421592769
171,5,11,1,1,74,luxe,783043.4550976896
150,3,2,0,1,72,luxe,609984.0622148463
169,6,6,1,0,23,populaire,614947.8045743806
72,5,13,0,0,9,calme,314591.42707152985
21,7,1,1,0,37,luxe,254710.83168567638
107,4,13,1,0,42,luxe,574061.3841348793
177,2,1,1,0,36,populaire,619076.1034457659
57,5,2,0,0,41,populaire,217853.93094620007
149,7,13,0,0,31,luxe,717787.93380918
211,2,3,0,1,13,calme,800816.7451259748
207,7,5,1,0,3,luxe,979692.7553887201
40,3,12,1,0,23,centre,291882.4913367289
180,1,7,0,0,9,populaire,620793.9312231396
223,5,9,1,0,15,centre,947762.4703063191
77,6,9,1,0,38,calme,347694.0632440877
41,5,6,1,1,17,populaire,139026.64121015565
108,2,3,1,0,24,calme,462185.0588970784
68,3,1,0,0,6,centre,360904.0131800664
238,7,1,1,1,55,calme,922079.7772310711
78,4,14,0,0,46,populaire,280247.00244729116
189,6,3,1,1,2,centre,875195.3055712037
239,3,5,1,1,0,populaire,891246.7659455109
207,5,2,0,1,32,centre,759718.0255728588
227,4,5,1,0,70,luxe,878589.5625459242
34,3,4,0,0,73,calme,164162.07704343463
209,1,4,0,1,58,calme,769298.9444938347
209,6,1,0,0,71,populaire,736578.0639752264
194,2,7,0,0,31,luxe,876592.4754227845
209,3,4,0,1,16,populaire,796353.5354697433
70,3,10,0,1,77,populaire,175721.37805319147
127,1,1,0,0,16,centre,514446.741604816
74,5,6,1,1,20,luxe,459447.1272806094
83,7,12,0,1,54,centre,435399.34187934705
150,7,14,1,0,5,populaire,572356.8983267538
248,6,8,1,0,48,centre,992288.8271485377
70,6,8,1,1,25,centre,359324.8813627702
154,2,0,0,0,31,calme,557586.3080977377
40,3,6,0,0,71,luxe,304752.3910190789
92,4,8,1,0,43,calme,369535.02565782756
186,3,5,0,0,58,luxe,762220.8306651616
37,7,0,1,0,28,calme,230276.59932631778
151,2,1,1,0,16,populaire,534961.8520886498
108,3,3,1,1,17,calme,481415.4877580819
79,1,13,0,1,39,luxe,419648.6148425291
33,7,3,1,1,62,luxe,296458.59272000595
28,3,1,0,1,74,luxe,228049.707515813
109,3,7,1,1,44,calme,486006.52547484124
72,7,1,0,0,75,centre,307090.8246528111
149,4,2,1,0,78,calme,536586.9514843737
103,7,13,0,1,2,centre,496438.5937665945
111,1,3,1,0,2,calme,444411.9149614031
130,1,8,0,1,37,populaire,450047.220622502
207,3,9,0,0,72,populaire,706612.2192694793
218,6,0,0,1,39,calme,820414.4313733809
191,4,7,1,0,67,calme,715650.8244688191
27,3,11,1,1,53,calme,176648.82974157797
194,7,14,1,0,19,populaire,699239.0296785473
54,3,13,0,1,14,centre,293288.2906149219
225,2,4,0,0,4,luxe,976572.9052121943
100,2,6,1,0,38,centre,440815.4276809239
183,6,7,1,1,39,calme,753348.8261260698
69,4,14,0,1,6,populaire,275612.95941688045
123,5,4,1,1,71,luxe,559058.7610377279
151,2,7,0,1,32,centre,644863.0264970766
21,5,9,0,1,36,calme,170517.71756004152
153,1,10,0,1,31,populaire,476283.1028826951
73,2,7,1,1,42,populaire,259534.8945732511
125,2,8,0,1,62,luxe,634929.7243791058
23,4,1,1,0,35,centre,200492.30782621755
73,6,2,0,0,48,populaire,224637.99017927653
240,5,0,1,0,24,calme,926005.2033854981
210,7,3,1,0,65,calme,794826.3668915624
165,2,14,0,1,8,luxe,836890.7919324985
237,2,14,0,0,17,centre,906734.2142501202
63,4,4,0,0,21,populaire,266485.4832553769
181,4,10,0,1,14,luxe,813690.4945353393
221,6,0,1,0,6,centre,932515.3176461065
209,5,7,1,1,12,centre,917853.2666612951
247,1,1,1,0,35,populaire,871115.3868792048
33,7,0,1,0,15,luxe,358550.2684493066
114,6,1,1,1,40,luxe,560271.3522865581
67,1,14,0,1,20,luxe,422534.6610760747
34,3,12,0,0,27,luxe,311336.39161919313
219,2,4,1,0,73,centre,849089.6056657932
225,5,8,0,0,16,luxe,953583.8273307078
234,6,8,0,1,64,luxe,972826.6725060821
209,2,1,0,1,12,populaire,697594.1351379659
59,5,1,0,1,35,calme,283489.3390567489
232,5,2,0,1,57,centre,917114.5298401038
227,5,6,0,1,19,populaire,848135.8786514107
101,2,10,1,1,51,populaire,349524.06038377975
130,6,2,0,0,5,populaire,490607.0122081888
72,7,0,0,1,22,centre,396840.9244378056
43,4,13,1,1,41,calme,243522.0776877231
173,2,13,1,0,23,centre,668445.134969173
236,5,13,1,0,4,luxe,1034302.2909928254
207,6,5,0,1,31,calme,839630.0684388534
143,7,2,1,1,45,centre,631163.8532443956
60,3,0,0,1,16,centre,308974.9761298378
176,1,13,1,1,74,luxe,800989.0362840671
34,5,12,0,0,26,centre,279259.7417127788
64,3,3,0,0,67,calme,211087.45746008836
84,4,12,1,0,22,populaire,375733.4927156762
108,7,0,0,1,33,centre,509131.20721373474
90,7,0,0,0,20,centre,468997.8201671196
28,5,11,0,1,21,calme,207962.92365821707
107,7,1,0,0,64,centre,443305.575407296
148,3,9,1,1,31,populaire,574055.8618770135
155,5,7,1,1,61,luxe,703435.3754921467
235,2,1,1,0,27,luxe,977782.2952402298
82,6,10,0,0,6,luxe,510914.3920162812
158,3,1,1,1,53,populaire,535437.5894077519
100,6,14,1,0,69,luxe,493208.85591293016
155,2,10,0,1,13,calme,644698.601826108
182,2,10,1,1,54,calme,725619.7824486594
182,6,9,1,0,57,populaire,657926.0317176587
52,3,9,1,0,43,populaire,159178.48222271047
142,6,7,0,1,45,populaire,591029.2248879694
24,6,11,1,1,13,calme,221067.44914526364
60,1,5,1,1,43,populaire,194554.13814875484
47,3,11,1,1,40,populaire,103743.62087232622
154,1,10,0,1,72,luxe,629770.463202027
220,5,3,0,1,1,populaire,859815.5630879891
91,7,2,1,0,4,centre,582287.2902847823
31,6,0,1,0,11,luxe,361074.9401686195
181,5,10,1,0,77,calme,650240.2041543438
52,3,2,0,1,76,calme,214282.7145610773
67,6,11,0,1,46,calme,318833.607533728
170,7,13,1,0,78,luxe,767250.5129144143
81,5,8,1,0,34,calme,331444.19876743754
235,4,4,0,0,18,luxe,1018084.5583357945
56,2,12,0,1,78,luxe,293943.1921098893
118,6,5,1,1,62,centre,466977.91934660636
191,7,4,0,1,7,centre,827219.4796015114
123,2,0,1,0,22,centre,446721.8310176614
233,1,9,1,0,12,centre,902259.0569204427
238,5,0,0,0,22,centre,958988.6588568753
54,1,3,1,1,30,calme,283953.2266721716
212,7,14,1,0,29,calme,885128.3625456428
246,6,2,1,0,41,calme,932077.1449681135
120,2,10,1,1,1,centre,557676.4966029066
194,2,7,1,1,10,populaire,690203.1961207028
225,5,11,1,0,24,calme,935091.9405909195
150,6,11,1,1,28,calme,616238.0232834528
20,4,6,0,0,21,populaire,84727.23686829091
24,4,14,0,1,18,centre,251805.4454646383
237,5,10,1,1,72,luxe,952939.5104591325
161,6,14,0,1,40,populaire,539039.4733063088
122,5,6,1,1,37,populaire,484738.06364971335
46,6,14,1,1,28,calme,252347.00235856068
156,7,7,0,1,73,calme,626286.4373964872
226,7,13,1,0,21,centre,934731.6968701986
34,1,9,1,0,7,luxe,313028.3459046085
109,5,6,0,0,46,luxe,559595.4256450259
61,6,9,0,1,5,populaire,316649.0717275915
143,4,1,0,1,6,centre,649791.4834804942
224,6,3,0,0,35,luxe,971735.4870574828
198,7,14,0,0,7,populaire,816185.172881703
82,6,10,0,0,76,calme,301686.67658549256
115,5,5,1,1,45,luxe,604071.174597075
71,1,2,0,0,63,populaire,206813.0552897562
115,1,14,0,0,30,luxe,480705.9351877555
151,1,2,1,0,22,centre,661247.6545643478
241,1,14,1,0,60,populaire,811513.926081647
248,7,5,0,1,49,centre,1011869.3833816202
170,3,0,1,0,45,populaire,560204.3889229421
162,5,13,1,0,42,calme,669206.5059408093
190,2,0,1,1,9,luxe,868962.4326023468
48,5,4,1,1,19,calme,248273.17755690654
55,3,0,1,1,15,centre,309305.1514533689
32,1,9,1,1,77,luxe,263085.6222556363
179,3,7,1,1,2,calme,787620.0450851404
90,4,1,0,0,29,populaire,296720.8866431565
206,4,5,1,0,17,populaire,710266.0710922125
105,7,9,0,0,58,calme,448095.3149226719
47,5,9,1,1,69,luxe,339471.25649984647
85,5,4,1,0,34,centre,440576.3065163168
189,2,9,0,1,18,populaire,659126.8577474997
64,7,11,1,1,25,centre,365174.90063337155
81,2,11,1,0,34,luxe,503580.2171161013
204,4,3,0,1,75,luxe,840798.6551325411
153,1,0,1,0,71,populaire,442329.87124557886
47,3,13,1,1,56,centre,258981.44710042272
47,2,13,0,0,48,luxe,354810.06650776824
127,6,2,0,1,9,centre,668298.1687381513
63,2,12,1,1,28,populaire,227809.7943244042
103,1,11,0,1,70,populaire,316656.77641400904
49,1,3,1,0,67,luxe,295154.4421123718
209,5,1,1,1,77,luxe,835606.2647709044
94,3,11,0,0,23,centre,422675.8397366068
147,1,1,0,1,42,luxe,711202.0744435103
111,7,1,0,0,38,populaire,392740.98389759264
236,2,10,0,1,24,luxe,1049913.1480582466
209,2,0,1,0,67,calme,737467.3162131744
244,4,9,0,1,33,populaire,815163.5822550122
148,1,1,0,1,52,centre,607761.556388144
140,6,5,1,1,54,luxe,680551.4131335849
46,5,2,1,0,52,luxe,370953.17167107697
209,3,9,1,1,17,populaire,783563.3833627995
140,6,4,1,1,6,populaire,567190.6352241044
135,5,0,1,1,62,centre,589631.4454585365
224,2,7,1,0,74,populaire,750397.3910165713
22,6,12,1,1,41,centre,182974.30281650007
122,5,3,1,0,10,luxe,669825.8467134853
217,2,8,1,0,8,centre,881510.8166058281
219,2,3,0,1,34,centre,859313.9593324042
174,2,13,0,1,64,centre,703544.6519035524
156,2,14,1,0,4,luxe,782123.4600835682
81,7,14,0,0,25,calme,428152.8575215023
184,2,14,1,1,50,calme,736975.4441316305
244,4,1,1,0,37,centre,901618.9117694467
70,6,2,1,0,2,populaire,299871.2479912799
191,5,4,1,1,58,calme,715419.3029603185
171,4,11,0,1,12,luxe,823876.9889921205
226,7,9,0,0,34,centre,919039.25021258
78,4,14,1,0,2,calme,455080.10477537
137,1,12,0,1,52,luxe,590603.2500794713
179,1,12,0,0,54,centre,686803.4214546198
115,1,13,1,0,44,calme,452894.17161427636
235,3,5,1,1,65,centre,898507.2991965687
199,1,6,0,0,66,calme,691809.0958930949
132,5,3,0,0,43,calme,579247.0099009963
81,4,6,1,0,72,populaire,269374.27102594316
205,5,14,1,0,67,calme,828851.6205192156
71,6,9,0,1,61,populaire,251401.16179174185
31,1,2,1,0,24,luxe,286669.37299967516
58,7,6,1,0,51,calme,264676.03939380916
149,3,3,1,1,49,centre,597339.226471749
150,6,12,0,0,0,populaire,535555.495455298
132,7,12,0,0,38,calme,526019.6330222251
120,3,7,1,1,51,populaire,429679.26080068835
132,6,8,0,0,75,centre,589380.956816959
203,4,6,1,0,39,centre,815006.6280988073
100,5,7,0,0,59,centre,441964.82730561413
206,2,7,0,0,72,luxe,867369.9020909045
132,5,1,0,0,68,luxe,586290.9389110631
21,1,8,1,0,19,centre,146216.50415317033
149,7,5,1,0,1,luxe,739636.0854729811
239,2,10,1,1,8,luxe,1087138.1477054872
73,3,3,0,1,38,luxe,427835.93587913446
106,4,14,1,1,29,luxe,599338.3895568058
248,4,4,1,0,53,luxe,1001259.4090541111
243,3,9,1,1,57,luxe,1066799.342526233
244,1,4,1,1,43,centre,999419.8963945793
148,3,6,0,1,42,luxe,693196.1866248851
166,6,13,1,1,9,luxe,870545.0980913299
145,7,8,1,0,47,populaire,522154.0028855175
149,7,6,0,0,16,populaire,605732.2495178144
72,1,8,1,0,4,luxe,456267.2523029855
191,2,3,0,1,69,calme,648588.9998398755
237,3,9,0,0,73,calme,858062.8763490779
179,1,13,0,1,63,luxe,782911.5244620175
217,7,9,1,0,65,centre,882949.5960044704
179,2,3,0,0,70,centre,677754.9678258824
87,3,5,0,1,3,populaire,340095.5101319579
202,4,7,0,1,27,centre,828499.4793051305
222,3,13,1,0,37,centre,898492.2152275388
203,5,8,0,0,65,centre,781008.4979782193
142,3,0,0,0,66,luxe,591565.416976039
